Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,"Project title: Factors affecting academic performanceResearcher(s): Prashant Athavale. Sumona Mondal, Seema RiveraInstitutional Review Board (IRB) approval number: 20-57.2ESummary of the study: In our efforts to continually improve the quality of education at Clarkson, we are conducting research to better understand the factors affecting students’ performance in university mathematics courses. In this research, we would like to ask you a few questions regarding your study habits in this and other courses. For example, your use of cell phone, and previous performance in AP Calculus and/or Highschool math, Calculus sequence. We then intend to use this information to understand how to improve the effectiveness of instruction. The survey is completely voluntary, and your participation or non-participation will not affect their grades because the instructors will not see the survey until final grades have been assigned. Please read the material below if you are interested in participating in this study.What to expect: The subjects will be asked to fill out a survey. The survey will ask you questions related to your prior and current academic performance, and your cell phone usage habits. The survey should take about 10 minutes to complete.If you have any questions about this research, you may contact Prashant Athavale (prashant@clarkson.edu). Risks and discomforts to you if you take part in this study: There are no risks for you.The benefits to you if you take part in this study: There are no direct benefits to the participants. The research will be used to improve the instruction and will be helpful to students in future classes.What will you receive for taking part in this study: There is no direct compensation for the participants. What will happen to the information collected in this study: The information collected will be kept confidential as much as is permitted by law.The data collected will be kept in the primary investigator’s computer, until the Final grades are posted. Only the investigators will have access to the raw data.The data will be used for statistical research purposes to understand the factors important for improving the quality of education.What rights you have when you take part in this study: Participation in this research is voluntary. Deciding not to take part, or to stop being a part of this research will result in no penalty, fine or loss of benefits that you otherwise have a right to. It is not mandatory for you to answer any questions in the survey. If you are not comfortable with a question you can skip the question, or the entire survey if they choose to do so. Conflict of Interest: The researchers have no financial interest in performing this study. Informed Consent: The survey is completely voluntary, and your participation or non-participation will not affect their grades because the instructors will not see the survey until final grades have been assigned.Click the “Next” button below to show you have had the purpose of this research explained and you have been informed of what to expect and your rights. You should have all your questions answered to your satisfaction. By clicking “Next” you agree to take part in this research. By continuing to the next page, you also attest that you are at least 18 years old. You can print this consent form to keep for your records.","Choose a unique 8-digit alpha-numeric code. The code must start with a letter. If you need to withdraw from the study, you can email prashant@clarkson.edu with this code. In which case, your survey will not be used in the study, and the data will be permanently destroyed.",What is your favorite season?,Which smartphone do you use?,Which operating system do you use on your computer/laptop?,How many minor degrees are you currently pursuing?,Did you take Calculus 1 before attending Clarkson University?,Did you take AP Calculus before joining Clarkson?,Your grade in Calculus 2 (MA132):,"Which of the above courses did you take ""at Clarkson""? (Check all that applies.)",,,"Your “current"" cumulative score in STAT383 on Moodle as a percentage out of 100% (Write the average score of your in-class tests.):","What is your ""previous week’s"" average daily cell phone screen time in hours? (If you use an iPhone please refer to your Screentime App, Android users, please refer to your Digital Well-Being app or give your best estimate.)","Excluding the lectures, how many hours do you study for STAT383 per week?",Do you think that the difficulty level of STAT383 was:,"In the future, would you prefer to have your lectures online or in-person?","Irrespective of your grades, in which format did you learn the course material better?"
,,,,,,,,,Response,Open-Ended Response,Response,Response,Response,Response,Response,Response,Response,Calculus 2 (MA132),Calculus 3 (MA231),None of the above courses,Open-Ended Response,Open-Ended Response,Response,Response,Response,Response
118761968812,458984732,12/11/2024 02:09:08 PM,12/11/2024 02:10:47 PM,,,,,,"Yes, I consent to participate in this study",Abcdefg,Summer,iPhone,Mac OS,1,Yes,No,C-,Calculus 2 (MA132),Calculus 3 (MA231),,77,3,1,more than other courses,Online,Online format
118756747360,458984732,12/04/2024 03:03:03 PM,12/04/2024 03:10:16 PM,,,,,,"Yes, I consent to participate in this study",qwerty12,Fall,iPhone,Windows,2,No,No,A,Calculus 2 (MA132),,,82,9,4,about the same as other courses,In-person,In-person format
118756747980,458984732,12/04/2024 03:03:41 PM,12/04/2024 03:10:14 PM,,,,,,"Yes, I consent to participate in this study",G7h20Ku5,Fall,iPhone,Windows,1,No,No,B,Calculus 2 (MA132),,,53,5,4,about the same as other courses,In-person,In-person format
118756750456,458984732,12/04/2024 03:06:12 PM,12/04/2024 03:09:45 PM,,,,,,"Yes, I consent to participate in this study",delete77,Spring,iPhone,Other,0,No,No,C+,Calculus 2 (MA132),,,40,2,3,more than other courses,In-person,In-person format
118756747910,458984732,12/04/2024 03:03:13 PM,12/04/2024 03:09:36 PM,,,,,,"Yes, I consent to participate in this study",Baseba11,Summer,iPhone,Windows,1,Yes,No,C+,Calculus 2 (MA132),,,66,5,2,about the same as other courses,In-person,In-person format
118756750830,458984732,12/04/2024 03:06:34 PM,12/04/2024 03:09:36 PM,,,,,,"Yes, I consent to participate in this study",R7894N21,Fall,iPhone,Mac OS,1,No,No,B,Calculus 2 (MA132),Calculus 3 (MA231),,96,7,3,less than other courses,In-person,In-person format
118756749939,458984732,12/04/2024 03:04:51 PM,12/04/2024 03:09:30 PM,,,,,,"Yes, I consent to participate in this study",HELLO789,Spring,iPhone,Mac OS,0,No,Yes,A+,Calculus 2 (MA132),,,87,3,2,about the same as other courses,In-person,In-person format
118756748577,458984732,12/04/2024 03:04:24 PM,12/04/2024 03:09:17 PM,,,,,,"Yes, I consent to participate in this study",Bike3047,Winter,iPhone,Windows,0,Yes,No,B-,Calculus 2 (MA132),Calculus 3 (MA231),,78,9,2,about the same as other courses,In-person,In-person format
118756749966,458984732,12/04/2024 03:05:49 PM,12/04/2024 03:09:13 PM,,,,,,"Yes, I consent to participate in this study",L1234567,Fall,iPhone,Windows,0,No,No,B-,Calculus 2 (MA132),Calculus 3 (MA231),,49,3,4,more than other courses,In-person,Online format
118756748171,458984732,12/04/2024 03:03:52 PM,12/04/2024 03:09:13 PM,,,,,,"Yes, I consent to participate in this study",Ryan123,Summer,iPhone,Windows,1,Yes,Yes,A+,Calculus 2 (MA132),Calculus 3 (MA231),,98,6,1,more than other courses,In-person,In-person format
